timestamp,timestamp_iso,rel_ms,channel,can_id,source,m33_ms,kind,session_id,subject_id,trial_id,trial_index,label,raw_hex,emg_raw,emg_filt,emg_abs,hr_raw,hr_bpm,flags,adc0,adc1,adc2,adc3,emg_biceps,emg_triceps,emg_ant_deltoid,emg_flags,emg_seq,node_state,node_err_cnt,node_q_fill,ack_cmd,ack_seq,ack_status,motor_slot,ros_slot,m33_joint_id,motor_id,motor_seq,motor_flags,motor_fresh,motor_fault,motor_saturated,motor_pos_mrad,motor_vel_mrad_s,motor_torque_mNm,motor_temp_c,output_current_cmd_a,limit_current_a,shoulder_pos_mrad,shoulder_vel_mrad_s,shoulder_torque_mNm,shoulder_temp_c,shoulder_output_current_cmd_a,shoulder_limit_current_a,shoulder_saturated,shoulder_fresh,shoulder_fault,shoulder_stale,elbow_pos_mrad,elbow_vel_mrad_s,elbow_torque_mNm,elbow_temp_c,elbow_output_current_cmd_a,elbow_limit_current_a,elbow_saturated,elbow_fresh,elbow_fault,elbow_stale,target_shoulder_output_current_cmd_a,target_shoulder_vel_mrad_s,target_shoulder_pos_mrad,target_elbow_output_current_cmd_a,target_elbow_vel_mrad_s,target_elbow_pos_mrad
1782904419.414490,2026-07-01T19:13:39.414,1227000,COM20,,serial,2698660,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698660,508,50,0,1316,0,163,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,508,50,0,1316,508,50,0,0,163,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.432638,2026-07-01T19:13:39.432,1227020,COM20,,serial,2698680,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698680,508,50,0,1316,0,163,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,508,50,0,1316,508,50,0,0,163,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.452484,2026-07-01T19:13:39.452,1227040,COM20,,serial,2698700,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698700,613,17,0,1315,0,164,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,613,17,0,1315,613,17,0,0,164,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.472039,2026-07-01T19:13:39.472,1227060,COM20,,serial,2698720,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698720,613,17,0,1315,0,164,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,613,17,0,1315,613,17,0,0,164,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.492877,2026-07-01T19:13:39.492,1227080,COM20,,serial,2698740,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698740,613,17,0,1315,0,164,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,613,17,0,1315,613,17,0,0,164,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.512407,2026-07-01T19:13:39.512,1227100,COM20,,serial,2698760,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698760,413,6,0,1317,0,165,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,413,6,0,1317,413,6,0,0,165,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.532433,2026-07-01T19:13:39.532,1227120,COM20,,serial,2698780,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698780,413,6,0,1317,0,165,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,413,6,0,1317,413,6,0,0,165,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.552120,2026-07-01T19:13:39.552,1227140,COM20,,serial,2698800,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698800,591,28,0,1315,0,166,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,591,28,0,1315,591,28,0,0,166,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.571420,2026-07-01T19:13:39.571,1227160,COM20,,serial,2698820,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698820,591,28,0,1315,0,166,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,591,28,0,1315,591,28,0,0,166,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.592330,2026-07-01T19:13:39.592,1227180,COM20,,serial,2698840,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698840,591,28,0,1315,0,166,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,591,28,0,1315,591,28,0,0,166,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.612659,2026-07-01T19:13:39.612,1227200,COM20,,serial,2698860,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698860,453,21,0,1315,0,167,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,453,21,0,1315,453,21,0,0,167,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
1782904419.632425,2026-07-01T19:13:39.632,1227220,COM20,,serial,2698880,sensor,S01_day2,S01,401_shoulder_flex_91,401,shoulder_flex,"EMG3MOTOR,2698880,453,21,0,1315,0,167,0,0,0,255,0.00,0.00,16,0,0,0,255,0.00,0.00,16",,,,,,,453,21,0,1315,453,21,0,0,167,,,,,,,,,,,,,,,,,,,,,,0,0,0,255,0.0,0.0,False,False,False,True,0,0,0,255,0.0,0.0,False,False,False,True,0.0,0,0,0.0,0,0
